"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"279",0.728,1.56642272332446,0.456,4.21580143187425,0.501,0.064,"5","SPON2"
"280",0.77,1.14967834888927,0.54,4.20925348733449,0.579,0.046,"6","MS4A4A"
"281",0.736,1.10952611847325,0.472,4.17759058782454,0.513,0.048,"17","TPM1"
"282",0.91,2.00670594036299,0.82,4.17473953076222,0.872,0.128,"16","PLAC8"
"283",0.863,1.73709828759468,0.726,4.17208285212725,0.784,0.108,"16","PPP1R14B"
"284",0.819,1.40371513683659,0.638,4.16124383220224,0.691,0.066,"17","PDLIM1"
"285",0.728,1.26665815899747,0.456,4.1384934930907,0.508,0.061,"17","MMP14"
"286",0.74,0.939126063461602,0.48,4.13542487480851,0.511,0.035,"7","MAD2L1"
"287",0.709,0.804764295450712,0.418,4.11700638428054,0.449,0.035,"16","TNFRSF21"
"288",0.741,2.5934878820019,0.482,4.11432336164434,0.529,0.055,"6","SPP1"
"289",0.83,2.27030486395344,0.66,4.10682129945216,0.712,0.072,"12","IFI27"
"290",0.864,1.41511094049405,0.728,4.1012237481091,0.784,0.083,"17","APP"
"291",0.871,1.34997009250312,0.742,4.0998555680255,0.79,0.062,"14","POU2AF1"
"292",0.767,1.20207626618448,0.534,4.09827882771042,0.579,0.054,"16","BCL11A"
"293",0.706,0.976973917785841,0.412,4.09719836117645,0.451,0.05,"16","OPN3"
"294",0.821,1.31218294077673,0.642,4.09423663396666,0.686,0.051,"17","EMP1"
"295",0.836,1.49836973068038,0.672,4.08641150234829,0.722,0.054,"14","VPREB3"
"296",0.752,1.23947080861479,0.504,4.0645647753819,0.542,0.045,"2","TREM1"
"297",0.705,0.849391320409859,0.41,4.05772982495884,0.442,0.035,"7","DHFR"
"298",0.756,0.941562639288332,0.512,4.05283859605956,0.549,0.04,"14","HHEX"
"299",0.74,0.708314968652119,0.48,4.05176280607218,0.506,0.022,"9","SPAG4"
"300",0.761,0.935589684248078,0.522,4.03979306200364,0.554,0.034,"18","RRM2"
"301",0.783,1.58336746102494,0.566,4.03216899894124,0.615,0.072,"13","RSAD2"
"302",0.809,1.67120035480024,0.618,4.02974877082461,0.67,0.083,"13","IFIT3"
"303",0.796,1.25591874777193,0.592,4.02928540136454,0.637,0.058,"16","SLC15A4"
"304",0.738,1.22054256449467,0.476,4.02622442104817,0.514,0.042,"6","MRC1"
"305",0.777,1.53076792218547,0.554,4.01881573511445,0.606,0.074,"3","LY9"
"306",0.837,1.44688721327398,0.674,4.0135515873286,0.733,0.089,"17","TIMP2"
"307",0.916,2.2563162958686,0.832,4.00903508049943,0.902,0.143,"2","PLAUR"
"308",0.766,0.9710299974402,0.532,4.00645481264068,0.569,0.038,"18","BIRC5"
"309",0.706,1.06172516078192,0.412,4.00462621788256,0.452,0.057,"3","ADAM28"
"310",0.786,0.974353294498555,0.572,3.99610710449817,0.61,0.036,"14","FCRLA"
"311",0.705,0.643390473538605,0.41,3.98715857193943,0.432,0.023,"17","RHOBTB3"
"312",0.714,0.685712199861849,0.428,3.98521730844123,0.453,0.027,"17","DST"
"313",0.783,2.03797846360416,0.566,3.97654007504964,0.648,0.129,"12","CD9"
"314",0.711,1.04875513731018,0.422,3.97541188525548,0.463,0.051,"2","LILRB2"
"315",0.775,1.23370330276487,0.55,3.96354840446596,0.593,0.046,"17","SERPINH1"
"316",0.737,0.96379964656867,0.474,3.95925173815447,0.512,0.039,"16","SEMA7A"
"317",0.783,1.83696296885539,0.566,3.95453593758227,0.625,0.075,"2","IL1RN"
"318",0.726,0.754201874183887,0.452,3.92097314041164,0.482,0.032,"18","UHRF1"
"319",0.708,0.81837896893087,0.416,3.89551546758392,0.449,0.036,"6","MMP14"
"320",0.791,1.09669926708939,0.582,3.87310688869656,0.628,0.046,"14","GPR18"
