"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TRDC",0,5.37773226659062,0.651,0.019,0,"9","TRDC"
"KLRC11",0,2.88105474983718,0.706,0.146,0,"9","KLRC1"
"CTSW4",0,2.16800722892332,0.774,0.22,0,"9","CTSW"
"HOPX2",0,2.15380765071817,0.744,0.208,0,"9","HOPX"
"KLRD11",0,1.99002082004005,0.678,0.181,0,"9","KLRD1"
"GNLY2",0,2.80861651052217,0.888,0.416,0,"9","GNLY"
"AREG",0,3.62552807167956,0.529,0.08,0,"9","AREG"
"TMIGD2",0,3.33589795271722,0.469,0.05,0,"9","TMIGD2"
"KIR2DL42",0,1.95932721280684,0.552,0.136,0,"9","KIR2DL4"
"TXK",0,4.08397826311909,0.391,0.028,0,"9","TXK"
"LAT2",0,3.04053198574207,0.379,0.05,0,"9","LAT2"
"KRT861",0,2.36083802204791,0.386,0.059,0,"9","KRT86"
"SH2D1B",0,5.97224668016188,0.317,0.007,0,"9","SH2D1B"
"ADGRG3",0,6.39785627527324,0.277,0.003,0,"9","ADGRG3"
"KRT81",0,4.42341410765845,0.28,0.012,0,"9","KRT81"
"LINC00996",0,5.31930214849088,0.255,0.009,0,"9","LINC00996"
"CEBPD",1.04751913491654e-197,2.06553391150146,0.348,0.088,3.51316967468309e-193,"9","CEBPD"
"CD72",4.78350664800212e-195,0.935493817713378,0.962,0.779,1.60429245960695e-190,"9","CD7"
"CAPG2",4.29081561131796e-185,1.48564545609674,0.595,0.236,1.43905373972382e-180,"9","CAPG"
"KLRB13",4.1007562370152e-184,1.44354136142634,0.6,0.231,1.37531162677016e-179,"9","KLRB1"
"GSTP12",1.1695501488746e-179,1.41446593736902,0.733,0.365,3.92243728929564e-175,"9","GSTP1"
"SLC16A3",1.85012973002925e-171,1.98610564828971,0.337,0.092,6.20496508857209e-167,"9","SLC16A3"
"CD247",8.22649539947508e-157,1.39329222671611,0.723,0.406,2.75900202707595e-152,"9","CD247"
"CCL54",1.43373525296882e-153,0.941607660959707,0.932,0.65,4.80846129140682e-149,"9","CCL5"
"TNFRSF184",2.49661489505201e-151,0.921651511180957,0.72,0.332,8.37314703502544e-147,"9","TNFRSF18"
"GZMA3",1.73017082233985e-147,1.23894703697669,0.87,0.594,5.80264690396337e-143,"9","GZMA"
"PCID2",1.88840348419409e-143,1.88150972145394,0.327,0.098,6.33332760529015e-139,"9","PCID2"
"CD634",9.94735977220697e-128,1.07021151514778,0.673,0.343,3.33614552040278e-123,"9","CD63"
"BCL2L11",7.98474187945151e-121,1.55641816379063,0.294,0.088,2.67792273153045e-116,"9","BCL2L11"
"RPS191",8.83352688383349e-121,0.494759264092532,0.999,0.989,2.96258824630008e-116,"9","RPS19"
"PRF12",6.80088832552556e-118,1.04257391521838,0.708,0.387,2.28088192661476e-113,"9","PRF1"
"SPRY1",6.62711714103885e-106,1.30076573106383,0.317,0.107,2.22260254676161e-101,"9","SPRY1"
"CSF1",8.73009208747815e-105,1.36464282257073,0.388,0.151,2.92789828429842e-100,"9","CSF1"
"IL2RB3",2.31454441075628e-102,1.04228203464545,0.656,0.362,7.7625190447944e-98,"9","IL2RB"
"HSPA6",8.46762462697917e-99,1.46983246902221,0.272,0.09,2.83987194739627e-94,"9","HSPA6"
"GZMB4",1.76404786889725e-94,0.899476405944535,0.823,0.511,5.91626374270759e-90,"9","GZMB"
"CD55",2.18829141980272e-91,1.21484293983372,0.355,0.139,7.33909176373438e-87,"9","CD55"
"PLPP12",1.0006436780843e-90,1.2985327258734,0.371,0.152,3.35595876755912e-86,"9","PLPP1"
"MT-CO34",2.08800863742562e-85,0.576050415531437,0.975,0.898,7.00276336819803e-81,"9","MT-CO3"
"MAP3K81",1.30899263474038e-84,0.994925011954775,0.48,0.229,4.39009949839229e-80,"9","MAP3K8"
"STARD3NL1",8.99586556281131e-84,1.17648915650622,0.397,0.175,3.01703339245566e-79,"9","STARD3NL"
"TPT13",6.67746713375546e-82,0.438528047405288,0.995,0.959,2.2394889273189e-77,"9","TPT1"
"MT-CO21",2.16569177864091e-81,0.401498179653164,0.997,0.989,7.26329708720589e-77,"9","MT-CO2"
"GZMK1",4.02223161665677e-78,1.1041869275076,0.441,0.208,1.34897603959435e-73,"9","GZMK"
"RPLP11",4.02854463404709e-77,0.293195254781319,1,0.998,1.35109329936671e-72,"9","RPLP1"
"MT-CO13",1.05588658768982e-74,0.454527084187829,0.993,0.974,3.54123243779412e-70,"9","MT-CO1"
"LGALS13",2.75381855452892e-73,1.07315978781357,0.673,0.424,9.2357566681791e-69,"9","LGALS1"
"IFITM31",4.28731673687789e-73,1.44651432672289,0.41,0.198,1.43788028721411e-68,"9","IFITM3"
"MT-ND33",4.44544710610371e-71,0.559701038853578,0.973,0.903,1.49091405044506e-66,"9","MT-ND3"
"NSMCE1",1.65153480327041e-70,1.33746926094669,0.307,0.129,5.53891742320831e-66,"9","NSMCE1"
"CLEC2B3",1.28999423840795e-68,0.67615836125154,0.737,0.462,4.32638267677258e-64,"9","CLEC2B"
"IER5",5.20572940677434e-67,1.47316711473594,0.272,0.11,1.74589752844398e-62,"9","IER5"
"ITM2C3",2.71515544125485e-66,0.672486420283214,0.443,0.211,9.10608831888052e-62,"9","ITM2C"
"GADD45B2",1.15815943028037e-65,0.594707528222704,0.525,0.28,3.88423509727431e-61,"9","GADD45B"
"CEBPB1",1.78727637500671e-64,1.09601230592889,0.351,0.163,5.9941675064975e-60,"9","CEBPB"
