"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ICAM1",1.67738915052719e-133,0.895499803684972,0.369,0.235,5.62562773303809e-129,"0","ICAM1"
"SEC11A",2.24887268362355e-131,1.16106694090917,0.495,0.428,7.54226920633665e-127,"0","SEC11A"
"VAPA",4.09867873304734e-131,0.889771588223053,0.564,0.521,1.37461487348942e-126,"0","VAPA"
"COX7A2",7.03198269595761e-131,0.784033400327554,0.649,0.616,2.35838635657026e-126,"0","COX7A2"
"FUNDC2",1.75390964765342e-130,1.86643827240774,0.354,0.253,5.88226217630004e-126,"0","FUNDC2"
"SAP18",1.89127381145911e-126,0.824531965815452,0.642,0.61,6.34295410887156e-122,"0","SAP18"
"PRDX1",5.49984884765209e-125,0.633216022317663,0.648,0.585,1.84453930652556e-120,"0","PRDX1"
"KLF6",1.62898158440307e-123,0.455645205351341,0.832,0.788,5.46327843777101e-119,"0","KLF6"
"COX4I1",2.75735226753058e-122,0.511217500693889,0.795,0.752,9.24760803484405e-118,"0","COX4I1"
"RPL36A",4.88338096861803e-122,0.445594100898104,0.838,0.775,1.63778830925512e-117,"0","RPL36A"
"SEC62",6.38625847136964e-122,0.74340017670822,0.648,0.605,2.14182336612795e-117,"0","SEC62"
"SUMO2",8.55087665144481e-122,0.633520754154638,0.693,0.659,2.86779301136156e-117,"0","SUMO2"
"MAPRE1",4.18428922572786e-120,1.32404061428437,0.419,0.337,1.40332692052461e-115,"0","MAPRE1"
"MORF4L1",1.02640796241943e-119,0.76096287743763,0.629,0.61,3.44236702436228e-115,"0","MORF4L1"
"SSR4",2.38783740988821e-116,0.518406891638985,0.644,0.612,8.00832910528308e-112,"0","SSR4"
"CD82",6.3729770727704e-116,1.06671711620023,0.431,0.324,2.13736905066574e-111,"0","CD82"
"SELENOS",6.64678676037613e-116,1.41469152851923,0.429,0.342,2.22919934369495e-111,"0","SELENOS"
"UQCRB",2.46251527732204e-113,0.505415431760623,0.775,0.748,8.25878373708267e-109,"0","UQCRB"
"ARPC3",2.69598148811938e-112,0.484783731343028,0.758,0.729,9.04178271485479e-108,"0","ARPC3"
"DYNLL1",9.61608704942159e-110,0.708312681414327,0.702,0.669,3.22504327463501e-105,"0","DYNLL1"
"RELB",5.09964458442145e-109,1.80234851018621,0.276,0.174,1.71031880072327e-104,"0","RELB"
"EIF1B",2.15379870453161e-107,1.10648572426911,0.491,0.435,7.22341009525812e-103,"0","EIF1B"
"HSPD1",5.74106153793406e-107,0.490780605146194,0.733,0.723,1.92543721859232e-102,"0","HSPD1"
"ATP6V1G1",6.30924056997163e-107,0.792432040834937,0.608,0.591,2.11599310235708e-102,"0","ATP6V1G1"
"AP3S1",2.39582262422573e-105,1.68542042855637,0.339,0.25,8.03510991712824e-101,"0","AP3S1"
