"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SOCS3",1.02518639607783e-174,1.50928811950993,0.729,0.365,3.43827013516581e-170,"0","SOCS3"
"RPS15",5.74803468964564e-173,0.617894510492775,0.989,0.887,1.92777587421336e-168,"0","RPS15"
"RPL29",2.1665477826818e-169,0.730293527702607,0.981,0.848,7.26616795355821e-165,"0","RPL29"
"SARAF",1.3479649202634e-163,1.01235222528467,0.921,0.662,4.5208047495794e-159,"0","SARAF"
"RPL12",1.20648779459383e-162,0.650581541319719,0.989,0.879,4.04631876550878e-158,"0","RPL12"
"RPS19",6.93473773923222e-162,0.613000205076596,0.99,0.918,2.3257723429837e-157,"0","RPS19"
"NOP53",1.43348812332973e-159,1.0025560287336,0.873,0.621,4.80763246802325e-155,"0","NOP53"
"ANXA1",1.62650413161449e-158,1.86948353602397,0.659,0.297,5.45496955660868e-154,"0","ANXA1"
"LEF1",2.33161764274029e-158,2.15841637384033,0.345,0.074,7.81977925022239e-154,"0","LEF1"
"PABPC1",1.01812544799968e-154,0.943298563736285,0.954,0.774,3.41458912750133e-150,"0","PABPC1"
"FAU",8.5493626564903e-154,0.611981726868501,0.987,0.855,2.86728524773372e-149,"0","FAU"
"RPL28",5.07943272815369e-149,0.51581584963061,0.993,0.941,1.70354014836818e-144,"0","RPL28"
"RPL6",5.53698647091685e-149,0.67295054051254,0.985,0.865,1.85699452261609e-144,"0","RPL6"
"NACA",2.45351443610559e-148,0.70949268457625,0.97,0.814,8.22859671581094e-144,"0","NACA"
"RPS7",3.1508041803651e-148,0.635744044121863,0.986,0.841,1.05671670601085e-143,"0","RPS7"
"RPL35",5.68680082317573e-148,0.593000145668467,0.982,0.878,1.90723926007668e-143,"0","RPL35"
"RPL37A",1.30472573546873e-146,0.601344928592424,0.989,0.875,4.37578917161502e-142,"0","RPL37A"
"RPL7",1.38268309475847e-145,0.753176284669952,0.962,0.775,4.63724256320095e-141,"0","RPL7"
"CD55",3.8356039478073e-144,1.56631792075091,0.595,0.276,1.28638485201561e-139,"0","CD55"
"RPL7A",3.36699293271106e-143,0.622355318075888,0.98,0.853,1.12922208977264e-138,"0","RPL7A"
"RPLP0",8.93811689643943e-143,0.725509305856129,0.979,0.81,2.99766564472786e-138,"0","RPLP0"
"CD48",1.83731621087088e-141,1.02206026297559,0.84,0.568,6.16199110801877e-137,"0","CD48"
"TOMM7",2.4613195859238e-140,0.867503373573339,0.906,0.689,8.25477362727123e-136,"0","TOMM7"
"RPSA",3.19046899411147e-140,0.685715133512442,0.975,0.823,1.07001949124511e-135,"0","RPSA"
